gene	universe_source	reconstruction_status
A2M	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ABCC9	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ABCG2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ACSL1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ACTA2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ACTG1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ADGRL4	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
AEBP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
AHSP	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
AIF1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
AKAP12	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
AKAP13	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ALAS2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ALOX5AP	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ANK1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ANK3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ANO2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ANXA2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APLP2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOA1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOA2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOA4	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOC2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOC3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
APOE	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ARHGAP15	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ARHGAP42	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ARL15	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ASAH1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ATP1B3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
BGN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
BLVRB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
BMP2K	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
C11orf96	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
C1QA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
